,Source,Target,Weight
0,Comedy,Family,2
1,Family,Comedy,2
2,Comedy,Romance,12
3,Romance,Comedy,12
4,Comedy,Drama,63
5,Drama,Comedy,63
6,Adventure,Game-Show,1
7,Adventure,Reality-TV,2
8,Game-Show,Adventure,1
9,Game-Show,Reality-TV,1
10,Reality-TV,Adventure,2
11,Reality-TV,Game-Show,1
12,Crime,Drama,105
13,Crime,Mystery,33
14,Drama,Crime,105
15,Drama,Mystery,59
16,Mystery,Crime,33
17,Mystery,Drama,59
18,Action,Adventure,62
19,Action,Animation,40
20,Adventure,Action,62
21,Adventure,Animation,36
22,Animation,Action,40
23,Animation,Adventure,36
24,Action,Drama,62
25,Adventure,Drama,30
26,Drama,Action,62
27,Drama,Adventure,30
28,Action,Crime,29
29,Crime,Action,29
30,Action,Mystery,4
31,Mystery,Action,4
32,Crime,Thriller,17
33,Drama,Thriller,28
34,Thriller,Crime,17
35,Thriller,Drama,28
36,Comedy,Crime,16
37,Crime,Comedy,16
38,Adventure,Sci-Fi,3
39,Drama,Sci-Fi,23
40,Sci-Fi,Adventure,3
41,Sci-Fi,Drama,23
42,Drama,Fantasy,34
43,Fantasy,Drama,34
44,Fantasy,Mystery,6
45,Mystery,Fantasy,6
46,Comedy,Fantasy,8
47,Fantasy,Comedy,8
48,Crime,History,2
49,Drama,History,11
50,History,Crime,2
51,History,Drama,11
52,Comedy,Music,4
53,Music,Comedy,4
54,Mystery,Sci-Fi,11
55,Sci-Fi,Mystery,11
56,Action,Comedy,14
57,Adventure,Comedy,13
58,Comedy,Action,14
59,Comedy,Adventure,13
60,Crime,Fantasy,5
61,Fantasy,Crime,5
62,Action,Sci-Fi,4
63,Sci-Fi,Action,4
64,Fantasy,Sci-Fi,2
65,Sci-Fi,Fantasy,2
66,Biography,Crime,5
67,Biography,Documentary,1
68,Crime,Biography,5
69,Crime,Documentary,2
70,Documentary,Biography,1
71,Documentary,Crime,2
72,Drama,Romance,19
73,Romance,Drama,19
74,Crime,Horror,3
75,Drama,Horror,18
76,Horror,Crime,3
77,Horror,Drama,18
78,Adventure,Crime,4
79,Crime,Adventure,4
80,Comedy,Sport,5
81,Sport,Comedy,5
82,Animation,Drama,9
83,Drama,Animation,9
84,Horror,Sci-Fi,2
85,Sci-Fi,Horror,2
86,Documentary,Mystery,1
87,Documentary,Reality-TV,2
88,Mystery,Documentary,1
89,Mystery,Reality-TV,1
90,Reality-TV,Documentary,2
91,Reality-TV,Mystery,1
92,Action,Thriller,3
93,Thriller,Action,3
94,Biography,Drama,7
95,Drama,Biography,7
96,History,Romance,2
97,Romance,History,2
98,Sci-Fi,Thriller,3
99,Thriller,Sci-Fi,3
100,Adventure,Horror,1
101,Horror,Adventure,1
102,Mystery,Thriller,5
103,Thriller,Mystery,5
104,Animation,History,1
105,History,Animation,1
106,Adventure,Fantasy,7
107,Fantasy,Adventure,7
108,Animation,Comedy,14
109,Comedy,Animation,14
110,Horror,Thriller,1
111,Thriller,Horror,1
112,Action,Fantasy,5
113,Fantasy,Action,5
114,Action,Horror,1
115,Horror,Action,1
116,Fantasy,Horror,10
117,Horror,Fantasy,10
118,Mystery,Romance,1
119,Romance,Mystery,1
120,Comedy,Talk-Show,2
121,Sport,Talk-Show,1
122,Talk-Show,Comedy,2
123,Talk-Show,Sport,1
124,Drama,Sport,4
125,Sport,Drama,4
126,Comedy,Documentary,2
127,Comedy,Reality-TV,3
128,Documentary,Comedy,2
129,Reality-TV,Comedy,3
130,Animation,Family,2
131,Family,Animation,2
132,Animation,Crime,2
133,Crime,Animation,2
134,Biography,Comedy,1
135,Comedy,Biography,1
136,Drama,Family,3
137,Family,Drama,3
138,Biography,History,1
139,History,Biography,1
140,Action,History,2
141,History,Action,2
142,Crime,Romance,1
143,Romance,Crime,1
144,Adventure,Romance,2
145,Romance,Adventure,2
146,Comedy,Horror,2
147,Horror,Comedy,2
148,Comedy,Mystery,5
149,Mystery,Comedy,5
150,Comedy,Sci-Fi,1
151,Sci-Fi,Comedy,1
152,Fantasy,Romance,3
153,Romance,Fantasy,3
154,Adventure,Family,2
155,Family,Adventure,2
156,Comedy,News,2
157,News,Comedy,2
158,News,Talk-Show,1
159,Talk-Show,News,1
160,Romance,Sport,1
161,Sport,Romance,1
162,Drama,Music,2
163,Music,Drama,2
164,Drama,Western,3
165,Western,Drama,3
166,Comedy,Musical,1
167,Music,Musical,1
168,Musical,Comedy,1
169,Musical,Music,1
170,Documentary,Sport,1
171,Sport,Documentary,1
172,Horror,Mystery,1
173,Mystery,Horror,1
174,Comedy,Game-Show,1
175,Game-Show,Comedy,1
176,Adventure,Biography,2
177,Biography,Adventure,2
178,Comedy,Short,1
179,Short,Comedy,1
180,Comedy,History,1
181,History,Comedy,1
182,History,News,1
183,News,History,1
184,Action,Biography,1
185,Biography,Action,1
186,Animation,Romance,1
187,Romance,Animation,1
