Id,Source,Target,Weight
0,Action,Crime,161
1,Action,Drama,299
2,Crime,Drama,540
3,Action,Mystery,14
4,Drama,Mystery,316
5,Comedy,Drama,496
6,Action,Fantasy,35
7,Action,Sci-Fi,41
8,Fantasy,Sci-Fi,10
9,Comedy,Family,138
10,Animation,Comedy,266
11,Action,Adventure,337
12,Adventure,Drama,114
13,Animation,Sci-Fi,12
14,Comedy,Sci-Fi,27
15,Crime,Sci-Fi,9
16,Action,Comedy,114
17,Adventure,Comedy,128
18,Animation,Family,34
19,Comedy,Fantasy,79
20,Comedy,Romance,208
21,Fantasy,Romance,20
22,Animation,Drama,109
23,Adventure,Animation,292
24,Action,Animation,305
25,Drama,Romance,260
26,Comedy,Talk-Show,50
27,Comedy,Mystery,25
28,Game-Show,Reality-TV,52
29,Adventure,Crime,25
30,Crime,Mystery,208
31,Drama,History,91
32,History,Romance,14
33,Action,Reality-TV,4
34,Comedy,Reality-TV,34
35,Comedy,Crime,108
36,Drama,Family,74
37,Drama,Fantasy,172
38,Game-Show,Thriller,1
39,Reality-TV,Thriller,1
40,Fantasy,Mystery,22
41,Drama,Thriller,201
42,Adventure,Family,15
43,Adventure,Game-Show,5
44,Family,Game-Show,7
45,Animation,Horror,14
46,Comedy,Horror,30
47,Drama,Sci-Fi,114
48,Romance,Sci-Fi,12
49,Animation,Crime,15
50,Comedy,Music,35
51,Music,Talk-Show,8
52,Family,Fantasy,10
53,Music,Reality-TV,8
54,News,Sport,1
55,News,Talk-Show,11
56,Sport,Talk-Show,1
57,Action,Family,7
58,Drama,Game-Show,3
59,Drama,Reality-TV,13
60,Animation,Fantasy,28
61,Adventure,Mystery,13
62,Drama,Horror,94
63,Fantasy,Horror,45
64,Family,History,4
65,Game-Show,Music,7
66,Mystery,Sci-Fi,23
67,Drama,Music,30
68,Drama,Talk-Show,1
69,Reality-TV,Talk-Show,2
70,Action,War,3
71,Drama,War,24
72,Comedy,Game-Show,17
73,Horror,Reality-TV,6
74,Comedy,Documentary,20
75,Comedy,News,8
76,Animation,Music,4
77,Comedy,History,17
78,Comedy,Short,11
79,Horror,Romance,3
80,Crime,Thriller,113
81,Biography,Crime,12
82,Biography,Drama,42
83,Crime,Fantasy,27
84,Crime,Reality-TV,4
85,Mystery,Reality-TV,3
86,Biography,History,24
87,Comedy,Musical,12
88,Musical,Romance,3
89,Crime,Romance,11
90,Comedy,Sport,13
91,Family,Sport,2
92,Comedy,Thriller,14
93,Crime,Horror,9
94,Documentary,Fantasy,2
95,Animation,Romance,23
96,Crime,Documentary,18
97,Documentary,Drama,9
98,Adventure,Reality-TV,13
99,History,Mystery,5
100,Family,Romance,8
101,Fantasy,Short,1
102,Horror,Mystery,41
103,Horror,Thriller,7
104,Mystery,Thriller,53
105,Sci-Fi,Thriller,17
106,Action,Thriller,40
107,Adventure,Sci-Fi,14
108,Animation,Reality-TV,1
109,Action,Sport,4
110,Reality-TV,Sport,5
111,Adventure,Fantasy,16
112,History,Music,1
113,Action,Romance,14
114,Comedy,War,2
115,Reality-TV,Romance,13
116,Adventure,Documentary,15
117,Fantasy,Reality-TV,1
118,Game-Show,Romance,6
119,Romance,Thriller,7
120,Drama,Western,6
121,Family,Reality-TV,6
122,Family,Talk-Show,2
123,Documentary,Reality-TV,27
124,Mystery,Romance,15
125,Action,Horror,12
126,Horror,Sci-Fi,8
127,Documentary,News,1
128,Documentary,History,15
129,Documentary,Mystery,9
130,Biography,Comedy,3
131,Biography,Documentary,8
132,Documentary,Short,2
133,Adventure,Horror,5
134,Documentary,Game-Show,1
135,History,Thriller,5
136,Family,Musical,4
137,Documentary,Horror,5
138,Animation,Mystery,4
139,Drama,Sport,20
140,Family,Music,6
141,Documentary,Music,3
142,Fantasy,Musical,1
143,Documentary,Romance,3
144,Thriller,War,1
145,Romance,Sport,1
146,Music,Romance,5
147,Crime,History,10
148,Action,Biography,4
149,Adventure,Biography,2
150,History,War,8
151,Fantasy,Thriller,5
152,Adventure,History,8
153,Crime,Sport,1
154,Biography,Sport,1
155,History,Western,1
156,Reality-TV,Sci-Fi,1
157,Crime,Music,2
158,Drama,Musical,8
159,Animation,Sport,3
160,Action,History,14
161,Music,Musical,2
162,Animation,Thriller,2
163,Family,Sci-Fi,2
164,History,Sci-Fi,1
165,Documentary,Sport,11
166,Documentary,Family,1
167,Adventure,Thriller,2
168,Documentary,War,1
169,Romance,War,3
170,Fantasy,History,3
171,Documentary,Talk-Show,2
172,Fantasy,Music,2
173,Action,Short,1
174,Short,Thriller,1
175,Biography,Music,2
176,Short,Talk-Show,1
177,Biography,Mystery,1
178,Game-Show,History,2
179,History,Reality-TV,2
180,Family,Short,1
181,Romance,Short,1
182,Animation,Short,3
183,Music,Sci-Fi,1
184,Game-Show,Mystery,1
185,Documentary,Sci-Fi,2
186,Game-Show,Horror,1
187,Horror,Talk-Show,1
188,History,Short,1
189,Comedy,Western,1
190,Crime,Western,1
191,Animation,History,3
192,Animation,Documentary,1
193,Crime,Talk-Show,1
194,Animation,Talk-Show,3
195,Action,Game-Show,2
196,Game-Show,Talk-Show,1
197,Animation,Musical,1
